zone_id,sub_zone_id,location
1,1,Location11
1,2,Location12
2,3,Location23
2,4,Location24
3,5,Location35
3,6,Location36
4,7,Location47
4,8,Location48
5,9,Location59
5,10,Location510
6,11,Location611
6,12,Location612
7,13,Location713
7,14,Location714
8,15,Location815
8,16,Location816
9,17,Location917
9,18,Location918
10,19,Location1019
10,20,Location1020
11,21,Location1121
11,22,Location1122
12,23,Location1223
12,24,Location1224
13,25,Location1325
13,26,Location1326
14,27,Location1427
14,28,Location1428
15,29,Location1529
15,30,Location1530
16,31,Location1631
16,32,Location1632
17,33,Location1733
17,34,Location1734
18,35,Location1835
18,36,Location1836
19,37,Location1937
19,38,Location1938
20,39,Location2039
20,40,Location2040